Month,max_Tem_2020,max_Tem_2021,max_Tem_2022,max_Tem_2023,min_Tem_2020,min_Tem_2021,min_Tem_2022,min_Tem_2023
1-Mar,28.3,30.3,28.3,29,10.8,14,10.7,13.5
2-Mar,28.4,32,28.3,29.9,11.3,9.8,11,15
3-Mar,29.2,29,28.3,29.5,13,10,12.2,15.5
4-Mar,29.4,29.2,29.2,30.6,12,10.8,12.5,16.7
5-Mar,29.4,30,30.2,31,11.5,12.8,11.8,16
6-Mar,28.4,30.2,30.2,31.7,13.6,12.2,13,15
7-Mar,30,29.3,30.2,32,15.2,13.3,13,12.4
8-Mar,24.4,29,31.2,31,11,15,13.2,14
9-Mar,28.2,30.3,32.4,27,11.5,14.7,13.4,10.5
10-Mar,28,31.3,32.4,32,12.8,15.7,14,12
11-Mar,30,32.1,32.2,32.8,12.8,13.3,13.6,12.7
12-Mar,30.2,30.4,32.2,32.2,13.2,14.6,13.4,14
13-Mar,32.2,31.3,33,32.7,13.7,15.7,14.4,14.5
14-Mar,26.2,25.2,33.3,32.6,15,13.8,14.2,13.4
15-Mar,29.2,29.3,34.3,32.4,13.6,14.3,15.1,13.5
16-Mar,27.2,31.3,34.1,32.5,14,14.4,17.5,14.3
17-Mar,30.2,32.3,23.2,31.5,11,15.2,18.6,17
18-Mar,30,32,25,29,13,15.6,17.8,16
19-Mar,30.2,32.3,37,31.5,12.5,15.2,16.5,16
20-Mar,31,32.3,36.3,28.5,13.5,16.2,17.2,17
21-Mar,31.3,34,36.6,25.5,12.2,13.6,19.3,16
22-Mar,29.3,34,36.2,28,12.8,14.2,19,14.5
23-Mar,29.3,35,35.2,29.6,12.8,15.6,17.5,16
24-Mar,29.2,34.2,35.4,30.5,14,15.8,17.2,15
25-Mar,31.2,36.2,35,31.6,16,13.6,16,15.5
26-Mar,32,34.4,36.2,30.5,16.2,12.7,15.8,14.5
27-Mar,33.1,33.2,36.1,32.8,17.8,12.8,16,13.8
28-Mar,33.3,32.3,35,32.5,18.6,14,17.5,12.6
29-Mar,29,32.3,34.2,33,14.6,15.2,20.5,13.5
30-Mar,33.2,30.4,33,33.5,13.4,15.3,23.4,13.5
31-Mar,33.3,34.2,31.4,33.3,14.2,18.2,24,15.6
1-Apr,20.8,30.4,32.4,29.5,33.3,20,22.6,15.3
2-Apr,19.8,32.3,33.2,25.5,34.2,13.7,23.8,12.5
3-Apr,19.6,34,25,29.5,34.2,11.5,22,14.5
4-Apr,18.8,34.2,34.4,31,34.2,10.8,17,15.5
5-Apr,19.6,32.3,36.8,33.8,34.3,12.6,20.7,14.9
6-Apr,19.8,31.4,35.4,33.5,35,13.3,21,14
7-Apr,20,33.3,35.3,34.5,35,15.2,21.8,14.2
8-Apr,21.2,35.3,35.3,34.3,35,17.7,21.8,13.8
9-Apr,19.8,35.4,34.3,34.5,33.3,17.8,23.5,15
10-Apr,19.4,36,35,36.5,36.2,17.3,21.4,14
11-Apr,19,37.2,34,35.5,35,14.6,21.2,15.5
12-Apr,21.2,37,32.2,35.5,35.1,15.2,24,15.2
13-Apr,22.2,37.3,32.2,35.2,35.3,15.5,23.8,16.5
14-Apr,22.8,36.4,35,36.5,35.2,16,23.3,16.2
15-Apr,21.4,36.2,37,35.5,36.3,18.4,18.3,19.8
16-Apr,22.4,35,27.3,35.8,36,18,17.3,20
17-Apr,23.6,35,38.3,33,35.1,19.5,17.2,17.3
18-Apr,22,35,37.3,38.4,34,17.2,18,19.2
19-Apr,23.2,36.1,36.2,40.5,33,16.2,23.2,18.7
20-Apr,22,35.2,35.3,38.8,34.4,16.7,21,20.2
21-Apr,19.8,37.2,33,40.3,34,19.5,20.8,19.6
22-Apr,20,33.2,35.2,36.3,31.1,17.5,22.5,16
23-Apr,21.4,33.4,35,35.6,29.2,15.4,18.5,16.2
24-Apr,20.6,35.2,34.4,36,31.3,18.5,19,20
25-Apr,22.4,38.4,35.3,26.6,31,18.2,18.4,15
26-Apr,22.8,38,35.3,34.2,30.4,16.8,19.8,16.4
27-Apr,23,38.4,36.2,35.5,31,16.5,21.5,17.7
28-Apr,23,38.4,35.4,35.5,29.3,17,22.2,18.3
29-Apr,22.6,38.2,36,35.7,32.3,21.4,22.8,18.5
30-Apr,31.3,37.2,35,36,21.2,20.5,19.8,22.5
1-May,28.2,35.2,30.2,27.2,21,20.5,20.7,19.5
2-May,32,37.4,33.2,27.5,21,20,22.5,19.5
3-May,33.2,26.4,34.2,31.5,21.5,20,19.8,17.7
4-May,31,33.2,31.2,33.7,19.8,20.8,23.2,21.2
5-May,30.3,30,33,28.5,18,20,21,17
6-May,32.1,26.2,32.1,34.8,19.4,20.8,22.8,19.7
7-May,26.3,32.4,31,36.9,16,20,21.5,20.5
8-May,31.3,30.2,34,37.9,18.3,20.5,22.2,18
9-May,33.4,33.2,34.4,38,19,19.8,22.5,16.5
10-May,30.4,31.4,35.2,39.4,21,16,23.5,18.5
11-May,30.3,31.4,31.3,39.2,19.4,19.8,27.8,15.6
12-May,33.4,32.2,36,38.2,20.8,19.2,24.8,16.5
13-May,34.3,28,36,38,21.7,20.8,24.5,21.5
14-May,36,30.2,33.3,38,22,19.6,20.2,23
15-May,33.3,32.2,32.3,39,22.8,20.8,25.3,19.5
16-May,35,35.2,35.3,35,22,21.6,23.8,20.5
17-May,35.3,36.4,35.2,35.5,23.6,22.8,22.2,21.5
18-May,36.2,35.2,35.2,35,20,25.5,21.2,20.3
19-May,34.2,33.4,35.2,33.4,21,23.3,22.7,24
20-May,34,29,35.4,35.7,21.8,23,23.5,20.2
21-May,34.4,29.2,34.6,36,24.8,22.5,19.1,21.5
22-May,33,33.4,33.2,32,24.6,23.4,20.7,23
23-May,33.2,35.3,31.3,36.5,25.4,24.2,22.7,21.5
24-May,36,33.2,33.3,35.2,22,23.2,21,23.4
25-May,36.2,37.2,33.7,35.4,21.7,24.5,24.3,21.9
26-May,35.4,34.4,30.3,35,22.2,24.7,19.8,18.5
27-May,32.3,27.4,33.3,30.7,20.8,23.2,21.8,20
28-May,33.2,26.3,34.4,35.4,23.6,23.6,22.6,20.2
29-May,34.3,25,32.1,34.3,20.6,22,22,22.2
30-May,30.3,31,31.4,36.6,19.8,22,25,20.7
31-May,31.3,33.4,34,38.8,21,23.8,25.6,22.3
1-Jun,34,35,34.4,40.6,22.8,22.8,24,22
2-Jun,35.2,34,31.4,40.5,31.3,23.2,23.8,20.5
3-Jun,29.2,34.4,34.4,41,23,23.4,25.5,20.5
4-Jun,26.4,35.2,32.3,41,22.8,25,24.7,21.5
5-Jun,28.4,37,35,31.4,24,25.4,24.5,22.7
6-Jun,33.3,37,34.2,39.8,24,22.2,25.7,22.8
7-Jun,35.3,36,35,41.3,23.3,24.3,23.7,24.7
8-Jun,35,37,34.4,42.2,22,23.6,24.8,23.7
9-Jun,35,37,34.2,43.4,24.6,24.5,24.5,23.7
10-Jun,35.3,33,32.2,43.2,25.3,25.3,25.8,26.4
11-Jun,35.3,31.3,33.2,42,26.4,25,23.7,27.5
12-Jun,35,35.4,35.1,40.4,26.2,27,23,27.3
13-Jun,35,33.2,34.2,39.6,25.8,24.5,25,25.5
14-Jun,34.3,33,36.3,38.8,24.6,25.2,25.4,25
15-Jun,34.2,33.2,35.4,40.5,25.6,23.5,26.6,26.2
16-Jun,35.3,25,33.4,40.5,25,23.2,23,26.2
17-Jun,34.1,27.2,34.3,43.4,25.3,24,23.6,26.5
18-Jun,33.3,32,35.2,42.3,25.7,24.5,23,29.7
19-Jun,31.2,33.3,34.3,40.7,25.4,24.8,22.8,25.5
20-Jun,32.3,33,34.4,40.5,24.8,24.8,22.8,24.5
21-Jun,30.4,32,33.4,33,25.3,25,24.3,27
22-Jun,33.3,34.2,35.1,37.5,25,26,24.8,26.8
23-Jun,35.3,35.4,35.2,32.5,25.8,25.4,24.7,24.5
24-Jun,28.3,34.4,36.4,38,24.4,25.5,24.5,26
25-Jun,32,34.4,35.4,39,23.7,25,26.8,23
26-Jun,32,26.4,35.1,32,24.8,24,27.6,26
27-Jun,28.2,31.3,35.2,39,24.7,25,27.4,27
28-Jun,31,34.4,35.3,33,25.5,25.8,25,25
